time,atm_temperature,atm_humidity,atm_air_pressure,atm_air_particle,atm_air_smoke,atm_CO2_ammount,atm_sound_pressure,light_intensity,UV_intensity,quality_rating,user_likes
2383584,23.60,45.70,99.80,1211.32,0.00,0.00,14.95,0.00,0.00,200.00,2
2418476,23.60,45.50,99.79,943.66,0.00,0.00,16.97,0.00,0.00,200.00,2
2453743,23.60,45.20,99.79,0.00,0.00,0.00,15.00,0.00,0.00,200.00,2
2488792,23.60,44.90,99.79,0.00,0.00,0.00,14.52,0.00,0.00,200.00,2
2523841,23.60,44.80,99.79,0.00,0.00,0.00,15.33,0.00,0.00,200.00,2
2558889,23.60,44.60,99.79,1508.61,0.00,0.00,16.60,0.00,0.00,200.00,2
2594112,23.60,44.40,99.79,2190.43,0.00,0.00,16.30,0.00,0.00,200.00,2
2628845,23.50,44.10,99.79,0.00,0.00,0.00,14.30,0.00,0.00,200.00,2
2663894,23.50,44.10,99.80,226.58,0.00,0.00,15.27,0.00,0.00,200.00,2
2698923,23.50,43.90,99.79,0.00,0.00,0.00,15.32,0.00,0.00,200.00,2
2733974,23.40,43.70,99.79,0.00,0.00,0.00,15.20,0.00,0.00,200.00,2
2769023,23.40,43.60,99.79,0.00,0.00,0.00,15.22,0.00,0.00,200.00,2
2804072,23.40,43.50,99.79,0.00,0.00,0.00,17.27,0.00,0.00,200.00,2
2839121,23.30,43.40,99.79,0.00,0.00,0.00,14.27,0.00,0.00,200.00,2
2874171,23.30,43.00,99.78,4569.98,0.00,0.00,15.15,0.00,0.00,200.00,2
2909322,23.30,43.10,99.78,459.04,0.00,0.00,14.82,0.00,0.00,200.00,2
2944487,23.20,43.20,99.79,0.00,0.00,0.00,15.27,0.00,0.00,200.00,2
2979535,23.20,43.00,99.77,1402.15,0.00,0.00,15.13,0.00,0.00,200.00,2
3014803,23.20,43.00,99.77,0.00,0.00,0.00,15.50,0.00,0.00,200.00,2
3049852,23.10,43.00,99.77,0.00,0.00,0.00,15.17,0.00,0.00,200.00,2
3084900,23.10,42.90,99.77,83.09,0.00,0.00,15.15,0.00,0.00,200.00,2
3119867,23.10,42.90,99.77,0.00,0.00,0.00,15.05,0.00,0.00,200.00,2
3154917,23.10,42.60,99.77,0.00,0.00,0.00,14.65,0.00,0.00,200.00,2
3189998,23.10,42.60,99.77,6171.55,0.00,0.00,14.60,0.00,0.00,200.00,2
3224922,23.00,42.70,99.77,0.00,0.00,0.00,13.82,0.00,0.00,200.00,2
3259971,23.00,42.50,99.77,0.00,0.00,0.00,14.73,0.00,0.00,200.00,2
3295019,23.00,42.60,99.76,487.35,0.00,0.00,14.22,0.00,0.00,200.00,2
3330272,23.00,42.40,99.77,0.00,0.00,0.00,14.93,0.00,0.00,200.00,2
